"Date","Price","Open","High","Low","Vol.","Change %"
"02-11-2021","86.25","83.40","86.25","83.00","534.03K","4.99%"
"01-11-2021","82.15","82.00","83.95","81.10","807.05K","-3.07%"
"29-10-2021","84.75","84.75","87.05","84.75","1.06M","-4.99%"
"28-10-2021","89.20","92.00","92.00","89.20","699.56K","-4.95%"
"27-10-2021","93.85","92.00","96.00","91.75","903.43K","2.57%"
"26-10-2021","91.50","87.40","91.75","87.40","804.44K","4.69%"
"25-10-2021","87.40","93.00","93.80","87.40","866.64K","-4.95%"
"22-10-2021","91.95","94.45","96.00","91.50","643.16K","-1.76%"
"21-10-2021","93.60","94.25","95.95","92.00","818.84K","1.41%"
"20-10-2021","92.30","95.55","95.55","91.65","1.27M","-4.30%"
"19-10-2021","96.45","100.00","102.10","94.55","1.35M","-2.03%"
"18-10-2021","98.45","99.00","102.00","98.00","978.37K","-0.10%"
"14-10-2021","98.55","101.80","101.80","98.10","768.68K","-1.50%"
"13-10-2021","100.05","102.00","103.00","99.10","998.23K","-1.19%"
"12-10-2021","101.25","102.45","103.95","100.00","846.99K","-1.41%"
"11-10-2021","102.70","104.80","106.70","102.00","1.20M","-2.00%"
"08-10-2021","104.80","106.65","106.65","102.50","2.26M","3.15%"
"07-10-2021","101.60","97.50","101.60","97.50","916.00K","4.96%"
"06-10-2021","96.80","96.90","99.90","96.00","1.27M","-0.10%"
"05-10-2021","96.90","100.20","100.60","96.40","1.42M","-3.29%"
"04-10-2021","100.20","100.05","103.35","99.00","1.29M","0.60%"
"01-10-2021","99.60","102.45","102.45","98.00","2.02M","-2.78%"
"30-09-2021","102.45","107.00","107.95","101.00","1.76M","-3.53%"
"29-09-2021","106.20","101.60","110.00","101.60","2.53M","0.05%"
"28-09-2021","106.15","114.90","114.90","105.10","3.98M","-4.02%"
"27-09-2021","110.60","109.00","110.60","106.40","2.62M","4.98%"
"24-09-2021","105.35","104.30","106.70","99.40","7.76M","2.98%"
"23-09-2021","102.30","99.00","102.30","98.05","5.00M","4.98%"
"22-09-2021","97.45","93.00","97.75","91.50","4.34M","4.67%"
"21-09-2021","93.10","98.70","98.70","93.10","7.77M","-5.00%"
"20-09-2021","98.00","94.50","99.25","92.25","6.87M","3.65%"
"17-09-2021","94.55","94.55","94.55","88.55","9.64M","5.00%"
